platform,date,author,title,content,rating,likes,comments,shares,url,note_type,topic
小红书,2026-04-27,奶油鹅鹅,鹅鸭杀穿搭合集,"把呆呆鸟做成春日穿搭，朋友都说可爱，想出系列图文。",,982,123,210,https://example.com/red/01,图文,穿搭
小红书,2026-04-29,人间犯困,甄嬛传二创,"甄嬛传二创版身份局笑死，台词梗和名场面太适合整活了。",,1650,214,406,https://example.com/red/02,视频,二创
小红书,2026-05-01,表情包制造站,呆呆鸟表情包,"做了一套呆呆鸟表情包，真的可爱到上头，评论区拿图。",,2204,308,625,https://example.com/red/03,图文,表情包
小红书,2026-05-02,移动端体验官,手游测评,"画风不错但手机发热，操作适配也一般，期待优化。",,212,64,18,https://example.com/red/04,图文,测评
小红书,2026-05-04,梗图档案馆,谁是鸽子,"一张图看懂整活名场面，这个梗真的笑死我了。",,1320,145,288,https://example.com/red/05,图文,梗图
小红书,2026-05-05,联机失败中,开黑翻车,"想和朋友开黑但是服务器太卡，掉线三次很无语。",,460,177,42,https://example.com/red/06,图文,体验
小红书,2026-05-07,穿搭鹅仔,角色配色穿搭,"按照角色配色做了三套穿搭，呆呆鸟那套最可爱。",,1184,96,176,https://example.com/red/07,图文,穿搭
小红书,2026-05-08,活动小问号,抽奖规则求解释,"活动抽奖积分规则不清楚，奖励到底什么时候到账？",,318,134,25,https://example.com/red/08,图文,活动
小红书,2026-05-10,整活剪辑手,名场面复盘,"朋友局的节目效果太强，做成二创剪辑后评论都笑死。",,1788,266,511,https://example.com/red/09,视频,二创
小红书,2026-05-12,萌新日记,第一天体验,"角色可爱有趣，不过新手引导弱，任务规则看半天。",,351,72,19,https://example.com/red/10,图文,新手
小红书,2026-05-14,甄学大师,后宫身份局,"甄嬛传台词配身份局，呆呆鸟名场面真的太上头。",,2408,391,802,https://example.com/red/11,视频,甄嬛传
小红书,2026-05-18,修复前先别更,版本提醒,"更新后闪退，手机黑屏两次，移动端体验差。",,699,255,63,https://example.com/red/12,图文,避雷
小红书,2026-05-21,头像研究所,鹅鹅头像包,"分享一组表情包和头像，适合开黑群里整活，爱了。",,1945,228,734,https://example.com/red/13,图文,表情包
小红书,2026-05-24,周末开黑局,宿舍爆笑局,"周末和朋友玩还是挺有意思，虽然遇到一个 bug 但不影响整活。",,822,101,190,https://example.com/red/14,图文,开黑
App Store,2026-04-28,iPhone小鸭,总是闪退,"刚打开就闪退，更新后更容易崩溃，根本进不去。",1,38,12,0,https://example.com/app/01,评分,闪退
App Store,2026-04-30,果粉玩家,玩法值得五星,"玩法有趣，和朋友开黑很欢乐，角色也很可爱。",5,25,3,0,https://example.com/app/02,评分,玩法
App Store,2026-05-02,网络转圈,服务器不稳定,"登录失败，服务器一直转圈，掉线后无法重连。",1,56,18,0,https://example.com/app/03,评分,服务器
App Store,2026-05-04,平板用户,适配需要改进,"iPad 操作区域适配不好，发热和耗电有点明显。",2,29,7,0,https://example.com/app/04,评分,适配
App Store,2026-05-06,鸭鸭玩家,轻松欢乐,"朋友聚会打开玩非常好玩，节目效果不错，推荐。",5,21,2,0,https://example.com/app/05,评分,推荐
App Store,2026-05-08,补丁等候,新版本 bug,"更新后出现黑屏和报错，偶尔直接闪退，很失望。",1,47,14,0,https://example.com/app/06,评分,版本
App Store,2026-05-10,排队用户,匹配太慢,"匹配慢而且队友挂机，排队半天体验差。",2,18,5,0,https://example.com/app/07,评分,匹配
App Store,2026-05-12,开心桌游,有意思,"身份玩法很有趣，和朋友开黑会一直笑，爱了。",5,17,2,0,https://example.com/app/08,评分,玩法
App Store,2026-05-15,登录重试,今天进不去,"网络连接异常，登录失败，服务器是否出问题了？",1,64,21,0,https://example.com/app/09,评分,登录
App Store,2026-05-18,活动玩家,奖励不到账,"抽奖活动规则不清楚，积分奖励不到账，客服能解释吗。",2,33,11,0,https://example.com/app/10,评分,活动
App Store,2026-05-21,老玩家回归,优化后不错,"这次更新操作流畅了一些，角色玩法依旧好玩。",4,14,1,0,https://example.com/app/11,评分,更新
App Store,2026-05-25,崩溃记录,持续闪退,"今天仍然闪退三次，崩溃报错后对局没了，退款。",1,72,29,1,https://example.com/app/12,评分,闪退
B站,2026-04-29,鸭片剪辑组,爆笑身份局,"朋友开黑名场面合集，整活效果拉满，弹幕全在笑死。",,3250,164,420,https://example.com/bili/01,视频,剪辑
B站,2026-05-01,呆呆鸟研究员,角色机制解析,"呆呆鸟角色玩法有趣，做了一期新手入门推荐。",,1840,106,218,https://example.com/bili/02,视频,攻略
B站,2026-05-03,版本观察台,更新后问题汇总,"更新后 bug、闪退和服务器卡顿集中出现，希望尽快修复。",,976,284,93,https://example.com/bili/03,视频,版本
B站,2026-05-06,甄嬛鹅传,配音二创,"甄嬛传配音二创太有意思，每个角色都是名场面。",,4860,352,988,https://example.com/bili/04,视频,二创
B站,2026-05-09,公平竞技君,外挂实录,"排到疑似外挂脚本，开挂影响节目效果，真的失望。",,1102,415,117,https://example.com/bili/05,视频,外挂
B站,2026-05-13,开黑观察室,五人欢乐局,"玩法好玩，朋友互演的节目效果简直神作。",,2123,98,350,https://example.com/bili/06,视频,开黑
B站,2026-05-17,移动端测试,手机操作反馈,"移动端操作和适配还不够顺，手机发热，但玩法有趣。",,622,137,44,https://example.com/bili/07,视频,测评
B站,2026-05-22,梗百科,本周热梗,"整理呆呆鸟表情包和整活名场面，欢迎评论区继续二创。",,3955,301,876,https://example.com/bili/08,视频,热梗
微博,2026-04-30,热搜鹅观察,开黑话题,"今晚和朋友开黑，角色玩法好玩到上头，节目效果满分。",,682,114,203,https://example.com/weibo/01,动态,开黑
微博,2026-05-02,服务器播报员,掉线反馈,"服务器卡顿和掉线影响对局，登录失败的问题请处理。",,854,296,168,https://example.com/weibo/02,动态,服务器
微博,2026-05-05,表情包bot,呆呆鸟出圈,"呆呆鸟表情包今日份更新，整活梗图可爱又好笑。",,2098,337,1020,https://example.com/weibo/03,动态,表情包
微博,2026-05-08,活动提醒君,奖励说明,"活动规则不清楚，抽奖积分和奖励不到账被问爆了。",,723,241,95,https://example.com/weibo/04,动态,活动
微博,2026-05-11,甄嬛文学社,身份局二创,"甄嬛传二创台词搭配呆呆鸟，名场面又上头又好玩。",,2780,409,1112,https://example.com/weibo/05,动态,二创
微博,2026-05-15,闪退记录仪,版本异常,"移动端更新以后闪退和黑屏频繁发生，体验差。",,1044,365,172,https://example.com/weibo/06,动态,版本
微博,2026-05-18,宿舍联机中,周末快乐,"朋友一起玩太欢乐，开黑整活素材又增加了。",,936,92,247,https://example.com/weibo/07,动态,开黑
微博,2026-05-20,反挂联盟,公平问题,"外挂和作弊脚本越来越明显，匹配到就很恶心。",,1318,442,251,https://example.com/weibo/08,动态,外挂
微博,2026-05-23,新赛季观察,赛季内容,"新赛季地图和角色不错，但是匹配慢，需要继续优化。",,577,146,67,https://example.com/weibo/09,动态,赛季
微博,2026-05-26,今日热梗,名场面征集,"征集朋友局名场面和穿搭二创，呆呆鸟整活真的笑死。",,3561,518,1402,https://example.com/weibo/10,动态,热梗
